metric,team,slope,ci_low,ci_high,trajectory,interval_spans_zero
shot_making_residual,ATL,-0.14608680988354977,-0.7251420002557368,0.43296838048863723,declining,TRUE
shot_making_residual,CHI,0.4429889972034396,-0.2660663541320076,1.1520443485388867,improving,TRUE
shot_making_residual,CON,0.3363575779477521,-0.03373862910869402,0.7064537850041982,improving,TRUE
shot_making_residual,DAL,0.30188114925721754,-0.285318789433579,0.8890810879480141,improving,TRUE
shot_making_residual,GSV,0.25492729590957697,-0.2409040778062801,0.750758669625434,improving,TRUE
shot_making_residual,IND,0.8116921204921457,0.3593742439547423,1.2640099970295489,improving,FALSE
shot_making_residual,LAS,-0.10783248319332739,-0.8579599452401475,0.6422949788534927,declining,TRUE
shot_making_residual,LVA,0.17670920248166794,-0.5183043402191337,0.8717227451824695,improving,TRUE
shot_making_residual,MIN,-0.1832572666702022,-0.7248545444178588,0.35834001107745433,declining,TRUE
shot_making_residual,NYL,-0.22392308234247288,-0.7378244833645967,0.2899783186796509,declining,TRUE
shot_making_residual,PDX,0.2743566771868801,-0.30794203378725943,0.8566553881610196,improving,TRUE
shot_making_residual,PHX,0.152631563457011,-0.41327975685242546,0.7185428837664475,improving,TRUE
shot_making_residual,SEA,0.24379474873439252,-0.2992087570358508,0.7867982545046359,improving,TRUE
shot_making_residual,TOR,0.35393125410801896,-0.3000124011490377,1.0078749093650756,improving,TRUE
shot_making_residual,WAS,-0.07842215821045834,-0.7693372374068445,0.6124929209859278,declining,TRUE
live_ball_tov_rate,ATL,-6.712013837793084e-4,-0.0017846679692415813,4.4226520168296445e-4,declining,TRUE
live_ball_tov_rate,CHI,-1.245255963978867e-4,-0.001222643095756538,9.735919029607645e-4,declining,TRUE
live_ball_tov_rate,CON,-4.937475847405547e-4,-0.0015939368519792222,6.064416824981128e-4,declining,TRUE
live_ball_tov_rate,DAL,-1.88443741144433e-4,-0.0012853497518288902,9.084622695400242e-4,declining,TRUE
live_ball_tov_rate,GSV,4.395348997239462e-4,-6.591007481058886e-4,0.0015381705475537811,improving,TRUE
live_ball_tov_rate,IND,-5.898839024444194e-4,-0.001686340378476384,5.065725735875454e-4,declining,TRUE
live_ball_tov_rate,LAS,-6.497196181943013e-4,-0.0017627889923694465,4.6334975598084395e-4,declining,TRUE
live_ball_tov_rate,LVA,-5.299232031034996e-4,-0.0016441480072746277,5.843016010676286e-4,declining,TRUE
live_ball_tov_rate,MIN,-9.480726777045042e-4,-0.0020320102684489817,1.3586491303997357e-4,declining,TRUE
live_ball_tov_rate,NYL,-5.119827767037234e-4,-0.0016108525192146156,5.868869658071689e-4,declining,TRUE
live_ball_tov_rate,PDX,-6.304223439205104e-4,-0.0017294192634788276,4.6857457563780677e-4,declining,TRUE
live_ball_tov_rate,PHX,8.570010711570419e-6,-0.0010719087531980507,0.0010890487746211914,improving,TRUE
live_ball_tov_rate,SEA,-8.406245162859903e-5,-0.0011511822442764716,9.830573410192734e-4,declining,TRUE
live_ball_tov_rate,TOR,2.010141710710747e-4,-9.111997191427329e-4,0.0013132280612848822,improving,TRUE
live_ball_tov_rate,WAS,-4.565863704420413e-4,-0.0015700179549819697,6.568452140978871e-4,declining,TRUE
