season,team_id,team_slug,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,athlete_id,uid,guid,full_name,display_name,short_name,first_name,last_name,jersey,position_abbreviation,position_name,position_id,height,weight,age,date_of_birth,birth_place_city,birth_place_state,birth_place_country,experience_years,experience_display_value,headshot_href,headshot_alt,link_web,status_id,status_name,status_type
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,3919496,s:40~l:59~a:3919496,886df61d-534d-925b-2e18-3feee63a38c9,Valeriane Ayayi,Valeriane Ayayi,V. Ayayi,Valeriane,Ayayi,11,F,Forward,7,"6' 1""",NA,32,1994-04-29T07:00Z,Bordeaux,NA,France,2,NA,NA,NA,https://www.espn.com/wnba/player/_/id/3919496/valeriane-ayayi,1,Active,active
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,5345524,s:40~l:59~a:5345524,c1abd888-8ab0-3e4f-9ba1-1280f0a60832,Noemie Brochant,Noemie Brochant,N. Brochant,Noemie,Brochant,1,F,Forward,7,"5' 11""",NA,26,1999-10-25T07:00Z,NA,NA,NA,0,NA,https://a.espncdn.com/i/headshots/wnba/players/full/5345524.png,Noemie Brochant,https://www.espn.com/wnba/player/_/id/5345524/noemie-brochant,1,Active,active
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,4688629,s:40~l:59~a:4688629,24a2c19a-7c30-3104-80e8-f18695c6d369,Shay Ciezki,Shay Ciezki,S. Ciezki,Shay,Ciezki,5,G,Guard,3,"5' 7""",NA,22,2003-11-26T08:00Z,Buffalo,NY,USA,0,NA,NA,NA,https://www.espn.com/wnba/player/_/id/4688629/shay-ciezki,1,Active,active
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,2998938,s:40~l:59~a:2998938,6e7575ee-bfdd-009a-f348-3cc2bde0ae32,Kahleah Copper,Kahleah Copper,K. Copper,Kahleah,Copper,2,G,Guard,3,"6' 1""",165 lbs,32,1994-08-28T07:00Z,Philadelphia,PA,USA,11,NA,https://a.espncdn.com/i/headshots/wnba/players/full/2998938.png,Kahleah Copper,https://www.espn.com/wnba/player/_/id/2998938/kahleah-copper,1,Active,active
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,4698730,s:40~l:59~a:4698730,eeaa5b81-7137-3138-8f78-cb064fa4eac8,Kara Dunn,Kara Dunn,K. Dunn,Kara,Dunn,12,G,Guard,3,"5' 11""",NA,22,2003-12-06T08:00Z,Dallas,GA,USA,0,NA,NA,NA,https://www.espn.com/wnba/player/_/id/4698730/kara-dunn,1,Active,active
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,4399342,s:40~l:59~a:4399342,f677901a-b073-884f-f964-8f95976f58b0,Lexi Held,Lexi Held,L. Held,Lexi,Held,10,G,Guard,3,"5' 10""",150 lbs,26,1999-12-28T08:00Z,Burlington,KY,USA,2,NA,https://a.espncdn.com/i/headshots/wnba/players/full/4399342.png,Lexi Held,https://www.espn.com/wnba/player/_/id/4399342/lexi-held,1,Active,active
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,4873359,s:40~l:59~a:4873359,a8cc79dc-a95e-3e9e-83cb-8d56ac77f6c4,Kyara Linskens,Kyara Linskens,K. Linskens,Kyara,Linskens,31,C,Center,9,"6' 4""",NA,29,1996-11-13T08:00Z,NA,NA,NA,2,NA,https://a.espncdn.com/i/headshots/wnba/players/full/4873359.png,Kyara Linskens,https://www.espn.com/wnba/player/_/id/4873359/kyara-linskens,1,Active,active
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,4068042,s:40~l:59~a:4068042,3522c80d-1624-720f-3a7d-16200259d3c0,Natasha Mack,Natasha Mack,N. Mack,Natasha,Mack,4,F,Forward,7,"6' 4""",180 lbs,28,1997-11-03T08:00Z,Lufkin,TX,USA,4,NA,https://a.espncdn.com/i/headshots/wnba/players/full/4068042.png,Natasha Mack,https://www.espn.com/wnba/player/_/id/4068042/natasha-mack,1,Active,active
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,3906769,s:40~l:59~a:3906769,f7e1ce1e-20b3-48e2-fe2c-9a67deaf0712,Jovana Nogic,Jovana Nogic,J. Nogic,Jovana,Nogic,29,G,Guard,3,"6' 0""",NA,28,1997-12-17T08:00Z,Belgrade,NA,Serbia,0,NA,NA,NA,https://www.espn.com/wnba/player/_/id/3906769/jovana-nogic,1,Active,active
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,3065570,s:40~l:59~a:3065570,2e8112d2-f7f5-33dd-0ab1-7a41c4134037,Kelsey Plum,Kelsey Plum,K. Plum,Kelsey,Plum,0,G,Guard,3,"5' 8""",145 lbs,32,1994-08-24T07:00Z,Poway,CA,USA,9,NA,https://a.espncdn.com/i/headshots/wnba/players/full/3065570.png,Kelsey Plum,https://www.espn.com/wnba/player/_/id/3065570/kelsey-plum,1,Active,active
